"","name","no_calls","all_calls","missingness_rate","private_variant_count","heterozygous_variant_count","O_HOM","E_HOM","N_SITES","F","perct_het_alt_in_snvs","perct_hom_alt_in_snvs","hom_AA_count","het_RA_count"
"1","HG00096",0,19965380,0,8715,2141604,75435506,75047578.81,77572882,0.15362,0,1,75878,0
"2","HG00097",0,19273491,0,11902,2204010,75436146,75047578.81,77572882,0.15387,0.583,0.417,45165,63034
"3","HG00099",0,21147220,0,11429,2193973,75446759,75047578.81,77572882,0.15807,0.577,0.423,46597,63464
"4","HG00100",0,19709112,0,12832,2205733,75431557,75047578.81,77572882,0.15205,0.565,0.435,45999,59840
"5","HG00101",0,19997113,0,9796,2140293,75436788,75047578.81,77572882,0.15412,0,1,71610,0
"6","HG00102",0,19754140,0,10134,2197479,75448326,75047578.81,77572882,0.15869,0.621,0.379,42045,68827
"7","HG00103",0,18683484,0,9783,2122684,75454228,75047578.81,77572882,0.16103,0,1,75703,0
"8","HG00105",0,19853875,0,10994,2143394,75433837,75047578.81,77572882,0.15296,0,1,76451,0
"9","HG00106",0,20268364,0,11007,2205657,75437158,75047578.81,77572882,0.15427,0.601,0.399,43540,65607
"10","HG00107",0,20058693,0,10122,2115754,75461468,75047578.81,77572882,0.1639,0,1,73295,0
"11","HG00108",0,19004868,0,8031,2124397,75452429,75047578.81,77572882,0.16032,0,1,75402,0
"12","HG00109",0,20759313,0,9862,2150854,75426633,75047578.81,77572882,0.1501,0,1,74036,0
"13","HG00110",0,18336854,0,10421,2126851,75508383,75047578.81,77572882,0.18247,0.561,0.439,45909,58660
"14","HG00111",0,18400818,0,7919,2180068,75466247,75047578.81,77572882,0.16579,0.634,0.366,39993,69140
"15","HG00112",0,19895018,0,6272,2107374,75469458,75047578.81,77572882,0.16706,0,1,74202,0
"16","HG00113",0,19778738,0,11306,2132001,75445109,75047578.81,77572882,0.15742,0,1,75378,0
"17","HG00114",0,21325772,0,6163,2098909,75478564,75047578.81,77572882,0.17067,0,1,75343,0
"18","HG00115",0,19815394,0,10355,2144040,75433604,75047578.81,77572882,0.15286,0,1,74808,0
"19","HG00116",0,19872098,0,7171,2126890,75449667,75047578.81,77572882,0.15922,0,1,76323,0
"20","HG00117",0,20316363,0,9107,2070457,75506395,75047578.81,77572882,0.18169,0,1,74794,0
"21","HG00118",0,19836087,0,12688,2232078,75412678,75047578.81,77572882,0.14458,0.618,0.382,41893,67908
"22","HG00119",0,20035702,0,10158,2125046,75451993,75047578.81,77572882,0.16014,0,1,77328,0
"23","HG00120",0,21229839,0,7240,2200941,75442324,75047578.81,77572882,0.15632,0.613,0.387,41945,66440
"24","HG00121",0,20520575,0,9521,2166260,75470097,75047578.81,77572882,0.16731,0.583,0.417,42700,59771
"25","HG00122",0,19783169,0,10754,2219270,75420225,75047578.81,77572882,0.14756,0.588,0.412,43503,62025
"26","HG00123",0,21104113,0,9683,2226647,75416447,75047578.81,77572882,0.14607,0.613,0.387,41948,66400
"27","HG00125",0,19521987,0,4903,2190598,75452047,75047578.81,77572882,0.16017,0.611,0.389,41579,65307
"28","HG00126",0,19260434,0,11443,2124152,75453325,75047578.81,77572882,0.16067,0,1,75233,0
